常看频道,#genre#

莆田新闻综合频道,http://gslb.dianshihome.com/gslb/live?stream_id=putian_putian1&.m3u8#http://0594.52yi.vip/fjpt.php?id=4#http://0594.52yi.vip/fjgw.php?id=189&.m3u8
莆田经济生活频道,http://gslb.dianshihome.com/gslb/live?stream_id=putian_putian2&.m3u8#http://0594.52yi.vip/fjpt.php?id=5#http://0594.52yi.vip/fjgw.php?id=190&.m3u8
莆田新闻综合频道,rtsp://27.148.236.225:554/live/ch18021018571856751097.sdp?&vcdnid=001&mediaid=ch18021018571856751097&AuthInfo=K36E2Dx5hD0cEce%2BGIlz3E6N9YKW3eHRKgz%2FFfsv%2B%2F112%2Brsx570MiFKQdF9pLVsh6eW6fiwjErYREav%2F%2FQ8mg%3D%3D
凤凰资讯,rtsp://27.148.236.225:554/live/ch18011614353125275996.sdp?&vcdnid=001&mediaid=ch18011614353125275996&AuthInfo=K36E2Dx5hD0cEce%2BGIlz3BPx5JUkx5rkm6ZYmGQ7O8I2QfJbEDAei5HPC1aYxZg3h6eW6fiwjErYREav%2F%2FQ8mg%3D%3D#http://27.148.240.138/PLTV/88888888/224/3221226929/1.m3u8
凤凰中文,rtsp://27.148.236.225:554/live/ch18011614354694706611.sdp?&vcdnid=001&mediaid=ch18011614354694706611&AuthInfo=K36E2Dx5hD0cEce%2BGIlz3BPx5JUkx5rkm6ZYmGQ7O8JW9CUo%2BbpG31k02oG3qyhsh6eW6fiwjErYREav%2F%2FQ8mg%3D%3D#http://27.148.240.138/PLTV/88888888/224/3221226980/1.m3u8
CCTV-13新闻,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226316/1.m3u8#http://suo.im/6mxiaS#http://suo.im/60rnBK#http://39.134.157.205/PLTV/88888888/224/3221225597/index.m3u8#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226316/1.m3u8#http://dbiptv.sn.chinamobile.com/pltv/88888890/224/3221225508/index.m3u8
熊猫新闻,http://sam629205.f3322.net:2018/udp/239.93.1.112:5140

福建综合频道,rtsp://27.148.236.225:554/live/ch18122115512978075826.sdp?&vcdnid=001&mediaid=ch18122115512978075826&AuthInfo=K36E2Dx5hD0cEce%2BGIlz3DxySTW61RDPLVuDWiitLtWxJKQhaOuKva6fK5%2Bz6OGnh6eW6fiwjErYREav%2F%2FQ8mg%3D%3D
东南卫视,rtsp://27.148.236.225:554/live/ch16042815324509410461.sdp?&vcdnid=001&mediaid=ch16042815324509410461&AuthInfo=K36E2Dx5hD0cEce%2BGIlz3MfgpO%2BQ%2BCyDl3JTxNBrlGQkaKd4DJpDUc8GItA7KdTWh6eW6fiwjErYREav%2F%2FQ8mg%3D%3D
福建公共频道,rtsp://27.148.236.225:554/live/ch15102710565314111610.sdp?&vcdnid=001&mediaid=ch15102710565314111610&AuthInfo=K36E2Dx5hD0cEce%2BGIlz3BC29SWDNimduX231WqEO8s5COuCelzHAYXpJv38UWkAh6eW6fiwjErYREav%2F%2FQ8mg%3D%3D
福建新闻频道,rtsp://27.148.236.225:554/live/ch15102712014936453054.sdp?&vcdnid=001&mediaid=ch15102712014936453054&AuthInfo=K36E2Dx5hD0cEce%2BGIlz3FavhalDt%2FYkXJ8j1zjGHejaw1oVUmcZyu7rkDCncvmph6eW6fiwjErYREav%2F%2FQ8mg%3D%3D
